epoch,lr-AdamW,step,train_acc_top1_epoch,train_acc_top1_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,train_mean_pos_epoch,train_mean_pos_step,val_acc_top1,val_acc_top5,val_loss_epoch,val_loss_step,val_mean_pos
,0.0005,0,,,,,,,,,,,,,
0,,9,,0.0078125,,0.0234375,,10.39776611328125,,115.7734375,,,,,
0,,19,,0.01953125,,0.09765625,,7.3941497802734375,,82.625,,,,,
0,,29,,0.01171875,,0.03125,,6.057655334472656,,85.3203125,,,,,
0,,39,,0.03515625,,0.13671875,,5.601360321044922,,78.16015625,,,,,
0,,49,,0.02734375,,0.1015625,,5.748481750488281,,65.640625,,,,,
0,,59,,0.03125,,0.1015625,,5.29986572265625,,62.33203125,,,,,
0,,69,,0.03515625,,0.0859375,,6.307533264160156,,70.06640625,,,,,
0,,79,,0.01953125,,0.08203125,,5.626262664794922,,77.859375,,,,,
0,,89,,0.01953125,,0.0625,,5.327323913574219,,60.9296875,,,,,
0,,99,,0.04296875,,0.125,,5.291374206542969,,61.71484375,,,,,
0,,109,,0.0234375,,0.10546875,,5.2547607421875,,59.6484375,,,,,
0,,119,,0.015625,,0.07421875,,5.3320770263671875,,62.015625,,,,,
0,,129,,0.03125,,0.1015625,,5.453727722167969,,57.45703125,,,,,
0,,139,,0.02734375,,0.12109375,,5.4165496826171875,,60.51171875,,,,,
0,,149,,0.01953125,,0.0859375,,5.3210906982421875,,60.57421875,,,,,
0,,159,,0.01171875,,0.125,,5.272514343261719,,55.671875,,,,,
0,,169,,0.02734375,,0.07421875,,5.3738861083984375,,65.81640625,,,,,
0,,179,,0.04296875,,0.125,,5.507843017578125,,55.32421875,,,,,
0,,189,,0.0546875,,0.16015625,,5.2033538818359375,,53.56640625,,,,,
0,,199,,0.0390625,,0.16015625,,5.220481872558594,,46.29296875,,,,,
0,,209,,0.05078125,,0.09375,,5.750450134277344,,63.25390625,,,,,
0,,219,,0.03125,,0.1015625,,5.5450897216796875,,60.078125,,,,,
0,,229,,0.03125,,0.10546875,,5.462615966796875,,60.078125,,,,,
0,,239,,0.04296875,,0.12109375,,5.120849609375,,51.66796875,,,,,
0,,249,,0.02734375,,0.09765625,,5.214805603027344,,55.453125,,,,,
0,,259,,0.01953125,,0.1171875,,5.461326599121094,,64.53515625,,,,,
0,,269,,0.015625,,0.11328125,,5.072994232177734,,51.73828125,,,,,
0,,279,,0.0234375,,0.171875,,5.211738586425781,,55.328125,,,,,
0,,289,,0.04296875,,0.13671875,,5.3428192138671875,,53.171875,,,,,
0,,299,,0.04296875,,0.16796875,,5.1241607666015625,,49.796875,,,,,
0,,309,,0.0390625,,0.140625,,5.1882476806640625,,54.88671875,,,,,
0,,319,,0.0703125,,0.1484375,,5.077156066894531,,53.59765625,,,,,
0,,329,,0.05078125,,0.1796875,,4.9091644287109375,,46.33984375,,,,,
0,,339,,0.046875,,0.15625,,4.921623229980469,,44.4765625,,,,,
0,,349,,0.046875,,0.140625,,4.743194580078125,,37.09375,,,,,
,,0,,,,,,,,,,,,4.800605773925781,
,,1,,,,,,,,,,,,4.951263427734375,
,,2,,,,,,,,,,,,4.6446380615234375,
,,3,,,,,,,,,,,,5.4037017822265625,
,,4,,,,,,,,,,,,5.100028991699219,
,,5,,,,,,,,,,,,4.972492218017578,
,,6,,,,,,,,,,,,4.906944274902344,
,,7,,,,,,,,,,,,4.605079650878906,
,,8,,,,,,,,,,,,5.3363494873046875,
,,9,,,,,,,,,,,,5.512855529785156,
,,10,,,,,,,,,,,,5.3086395263671875,
,,11,,,,,,,,,,,,4.701927185058594,
,,12,,,,,,,,,,,,5.720970153808594,
,,13,,,,,,,,,,,,4.573112487792969,
,,14,,,,,,,,,,,,4.8016815185546875,
,,15,,,,,,,,,,,,5.2669219970703125,
,,16,,,,,,,,,,,,4.7844390869140625,
,,17,,,,,,,,,,,,4.6310882568359375,
,,18,,,,,,,,,,,,5.139076232910156,
,,19,,,,,,,,,,,,5.246498107910156,
,,20,,,,,,,,,,,,4.751686096191406,
,,21,,,,,,,,,,,,5.257926940917969,
,,22,,,,,,,,,,,,5.177825927734375,
,,23,,,,,,,,,,,,5.316322326660156,
,,24,,,,,,,,,,,,5.43695068359375,
,,25,,,,,,,,,,,,4.741607666015625,
,,26,,,,,,,,,,,,5.802497863769531,
,,27,,,,,,,,,,,,5.4605560302734375,
,,28,,,,,,,,,,,,5.151214599609375,
,,29,,,,,,,,,,,,5.6108551025390625,
,,30,,,,,,,,,,,,4.656150817871094,
,,31,,,,,,,,,,,,5.38348388671875,
,,32,,,,,,,,,,,,5.04351806640625,
,,33,,,,,,,,,,,,5.080390930175781,
,,34,,,,,,,,,,,,5.5494232177734375,
,,35,,,,,,,,,,,,4.952056884765625,
,,36,,,,,,,,,,,,5.156242370605469,
,,37,,,,,,,,,,,,4.895408630371094,
,,38,,,,,,,,,,,,5.5916748046875,
