epoch,lr-AdamW,step,train_acc_top1_epoch,train_acc_top1_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,train_mean_pos_epoch,train_mean_pos_step,val_acc_top1,val_acc_top5,val_loss_epoch,val_loss_step,val_mean_pos
,6.427673611608958e-05,7392,,,,,,,,,,,,,
21,,7399,,0.87109375,,0.96875,,0.5681504011154175,,1.49609375,,,,,
21,,7409,,0.8203125,,0.9453125,,0.6988329291343689,,1.9765625,,,,,
21,,7419,,0.82421875,,0.93359375,,0.7940447926521301,,2.7109375,,,,,
21,,7429,,0.82421875,,0.94140625,,0.7290003895759583,,2.2890625,,,,,
21,,7439,,0.79296875,,0.9609375,,0.7487527132034302,,1.640625,,,,,
21,,7449,,0.80859375,,0.9375,,0.8025664687156677,,3.28515625,,,,,
21,,7459,,0.85546875,,0.984375,,0.5851637125015259,,1.42578125,,,,,
21,,7469,,0.83203125,,0.95703125,,0.6669629812240601,,1.83984375,,,,,
21,,7479,,0.84765625,,0.9609375,,0.712312638759613,,2.671875,,,,,
21,,7489,,0.84765625,,0.96484375,,0.5696321725845337,,1.3984375,,,,,
21,,7499,,0.828125,,0.96484375,,0.621170163154602,,1.5234375,,,,,
21,,7509,,0.8359375,,0.9453125,,0.6933543086051941,,1.80078125,,,,,
21,,7519,,0.875,,0.96484375,,0.5847399234771729,,1.6171875,,,,,
21,,7529,,0.8359375,,0.953125,,0.6748843193054199,,1.71875,,,,,
21,,7539,,0.80859375,,0.9375,,0.7483624815940857,,1.921875,,,,,
21,,7549,,0.8125,,0.93359375,,0.772857666015625,,2.29296875,,,,,
21,,7559,,0.83984375,,0.9609375,,0.6442928314208984,,1.68359375,,,,,
21,,7569,,0.79296875,,0.96484375,,0.7254117131233215,,1.90625,,,,,
21,,7579,,0.84765625,,0.96875,,0.5757036209106445,,1.390625,,,,,
21,,7589,,0.765625,,0.921875,,0.7880452871322632,,1.90625,,,,,
21,,7599,,0.80078125,,0.97265625,,0.6622762084007263,,1.484375,,,,,
21,,7609,,0.83203125,,0.98046875,,0.5802779793739319,,1.39453125,,,,,
21,,7619,,0.8828125,,0.97265625,,0.532875120639801,,1.51953125,,,,,
21,,7629,,0.77734375,,0.95703125,,0.800493597984314,,1.6796875,,,,,
21,,7639,,0.8671875,,0.97265625,,0.5542891621589661,,1.43359375,,,,,
21,,7649,,0.87109375,,0.98828125,,0.5048560500144958,,1.2734375,,,,,
21,,7659,,0.83984375,,0.9609375,,0.613400936126709,,1.52734375,,,,,
21,,7669,,0.7890625,,0.93359375,,0.7972724437713623,,1.83203125,,,,,
21,,7679,,0.84375,,0.953125,,0.6474726796150208,,1.58984375,,,,,
21,,7689,,0.81640625,,0.94140625,,0.7932924628257751,,2.62109375,,,,,
21,,7699,,0.81640625,,0.9296875,,0.7451635599136353,,1.91015625,,,,,
21,,7709,,0.765625,,0.96484375,,0.7831845283508301,,1.63671875,,,,,
21,,7719,,0.8046875,,0.95703125,,0.8068195581436157,,2.41015625,,,,,
21,,7729,,0.8203125,,0.9453125,,0.6957142353057861,,1.8515625,,,,,
21,,7739,,0.78515625,,0.96875,,0.7688905000686646,,1.82421875,,,,,
,,0,,,,,,,,,,,,nan,
,,1,,,,,,,,,,,,nan,
,,2,,,,,,,,,,,,nan,
,,3,,,,,,,,,,,,nan,
,,4,,,,,,,,,,,,nan,
,,5,,,,,,,,,,,,nan,
,,6,,,,,,,,,,,,nan,
,,7,,,,,,,,,,,,nan,
,,8,,,,,,,,,,,,nan,
,,9,,,,,,,,,,,,nan,
,,10,,,,,,,,,,,,nan,
,,11,,,,,,,,,,,,nan,
,,12,,,,,,,,,,,,nan,
,,13,,,,,,,,,,,,nan,
,,14,,,,,,,,,,,,1.0588890314102173,
,,15,,,,,,,,,,,,nan,
,,16,,,,,,,,,,,,nan,
,,17,,,,,,,,,,,,nan,
,,18,,,,,,,,,,,,nan,
,,19,,,,,,,,,,,,nan,
,,20,,,,,,,,,,,,nan,
,,21,,,,,,,,,,,,nan,
,,22,,,,,,,,,,,,nan,
,,23,,,,,,,,,,,,nan,
,,24,,,,,,,,,,,,1.7481533288955688,
,,25,,,,,,,,,,,,1.7417161464691162,
,,26,,,,,,,,,,,,nan,
,,27,,,,,,,,,,,,nan,
,,28,,,,,,,,,,,,1.3409569263458252,
,,29,,,,,,,,,,,,nan,
,,30,,,,,,,,,,,,1.4535377025604248,
,,31,,,,,,,,,,,,nan,
,,32,,,,,,,,,,,,nan,
,,33,,,,,,,,,,,,nan,
,,34,,,,,,,,,,,,1.1976964473724365,
,,35,,,,,,,,,,,,nan,
,,36,,,,,,,,,,,,nan,
,,37,,,,,,,,,,,,nan,
,,38,,,,,,,,,,,,nan,
,,39,,,,,,,,,,,,nan,
,,40,,,,,,,,,,,,1.6880300045013428,
,,41,,,,,,,,,,,,nan,
,,42,,,,,,,,,,,,1.5558968782424927,
,,43,,,,,,,,,,,,nan,
,,44,,,,,,,,,,,,nan,
,,45,,,,,,,,,,,,nan,
,,46,,,,,,,,,,,,1.3830530643463135,
,,47,,,,,,,,,,,,nan,
,,48,,,,,,,,,,,,1.1175488233566284,
,,49,,,,,,,,,,,,nan,
,,50,,,,,,,,,,,,nan,
,,51,,,,,,,,,,,,nan,
,,52,,,,,,,,,,,,nan,
,,53,,,,,,,,,,,,nan,
,,54,,,,,,,,,,,,1.2807419300079346,
,,55,,,,,,,,,,,,nan,
,,56,,,,,,,,,,,,nan,
,,57,,,,,,,,,,,,1.4139456748962402,
